DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             0.426               1.071            -0.645         1.555
RESSURF            0.426               1.066            -0.641         2.994
SOLIN            340.267             340.267             0.000         0.000
AAM            1.406e+26           1.421e+26        -1.539e+24      -999.000
CHI_200           -0.003               0.004            -0.006         0.173
CLDHGH            29.068              28.976             0.092         0.822
CLDLOW            32.602              33.208            -0.606         1.319
CLDMED            16.056              15.802             0.254         0.835
CLDTOT            50.792              51.151            -0.359         1.124
EKE_850           30.823              30.273             0.550         1.021
EP             5.338e-05           9.257e-05        -3.919e-05         0.233
FLNS              59.325              58.338             0.987         1.510
FLNSC             82.097              80.768             1.329         1.924
FLNT             232.290             234.584            -2.294         2.596
FLNTC            261.179             263.586            -2.407         2.516
FSDS             181.606             182.826            -1.220         2.590
FSDSC            242.935             245.579            -2.644         2.737
FSNS             158.435             160.107            -1.672         2.531
FSNSC            213.744             216.746            -3.002         3.669
FSNSC_ICE         51.994              55.237            -3.243         7.491
FSNSC_LAND       176.797             179.271            -2.474         2.906
FSNT             232.715             235.654            -2.939         3.442
FSNTC            284.013             288.532            -4.519         4.962
ICEAREA           24.149              21.786             2.363         0.061
LHFLX             81.550              83.631            -2.080         3.405
LWCF              28.889              29.002            -0.113         0.885
PRECT              2.794               2.868            -0.073         0.231
PRECT_LAND         2.306               2.380            -0.074         0.172
PRECT_OCEAN        3.120               3.185            -0.065         0.259
PREH2O            25.813              27.488            -1.675         1.924
PREH2O_OCEAN      30.181              31.904            -1.723         2.099
PSI_200           -0.035              -0.034            -0.001         0.095
PS               985.417             985.581            -0.164         0.314
PSL             1011.141            1011.249            -0.108         0.269
QFLX               2.795               2.868            -0.073         0.106
SHFLX             17.134              17.072             0.062         1.442
SNOWHLND          11.503              11.212             0.291         2.685
SST               20.584              21.307            -0.723         0.744
STRESS_MAG         0.066               0.067            -0.001         0.003
SWCF             -51.297             -52.878             1.580         2.622
T_850            281.803             282.717            -0.914         0.932
TGCLDLWP         133.933             136.391            -2.457         6.717
TGCLDIWP          17.370              16.933             0.437         0.724
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.679             288.621            -0.942         1.010
TS               288.375             289.308            -0.933         1.018
TS_LAND          282.367             283.584            -1.217         1.255
U_200             15.469              15.650            -0.181         0.557
VT_850             0.117               0.120            -0.002         0.301
Z3_500            56.727              56.948            -0.220         0.222
