DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             7.997               8.737            -0.740         2.579
RESSURF            7.093               7.876            -0.783         5.517
SOLIN            350.496             350.496             0.000         0.000
AAM            1.478e+26           1.480e+26        -2.428e+23      -999.000
CHI_200           -0.050              -0.034            -0.016         0.275
CLDHGH            28.545              28.437             0.108         1.507
CLDLOW            32.090              32.527            -0.437         1.472
CLDMED            16.293              16.071             0.222         1.177
CLDTOT            50.129              50.359            -0.230         1.581
EKE_850           28.189              27.407             0.782         1.544
EP             6.697e-03           8.285e-03        -1.588e-03         0.314
FLNS              58.632              57.829             0.803         1.877
FLNSC             81.374              80.230             1.144         2.138
FLNT             229.297             231.572            -2.274         3.050
FLNTC            257.797             260.174            -2.377         2.610
FSDS             188.656             190.001            -1.346         3.671
FSDSC            253.014             255.748            -2.734         2.967
FSNS             163.023             164.805            -1.782         3.411
FSNSC            221.175             224.289            -3.114         5.042
FSNSC_ICE         30.350              27.518             2.832         4.469
FSNSC_LAND       142.695             145.140            -2.444         3.356
FSNT             237.294             240.309            -3.015         4.170
FSNTC            291.076             295.677            -4.600         6.136
ICEAREA           22.324              20.484             1.840         0.059
LHFLX             82.359              84.327            -1.968         4.362
LWCF              28.500              28.603            -0.103         1.472
PRECT              2.812               2.880            -0.068         0.302
PRECT_LAND         2.268               2.345            -0.076         0.249
PRECT_OCEAN        3.171               3.229            -0.057         0.331
PREH2O            24.576              26.095            -1.519         1.877
PREH2O_OCEAN      29.805              31.427            -1.622         2.081
PSI_200           -0.002              -0.001            -0.001         0.108
PS               985.296             985.445            -0.149         0.458
PSL             1011.344            1011.425            -0.081         0.430
QFLX               2.819               2.889            -0.070         0.132
SHFLX             14.940              14.773             0.166         2.393
SNOWHLND          12.262              11.984             0.279         2.657
SST               20.607              21.325            -0.718         0.743
STRESS_MAG         0.071               0.071            -0.000         0.005
SWCF             -53.782             -55.368             1.586         3.896
T_850            280.188             281.048            -0.860         0.894
TGCLDLWP         134.426             136.864            -2.439         8.633
TGCLDIWP          17.768              17.363             0.406         1.147
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.771             286.696            -0.925         1.024
TS               286.420             287.333            -0.913         1.040
TS_LAND          275.663             276.859            -1.196         1.282
U_200             16.264              16.333            -0.069         0.906
VT_850            -0.694              -0.684            -0.010         0.493
Z3_500            56.484              56.692            -0.208         0.214
