DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            -9.894              -9.512            -0.383         2.730
RESSURF          -10.846             -10.409            -0.436         5.072
SOLIN            330.385             330.385             0.000         0.000
AAM            1.194e+26           1.218e+26        -2.466e+24      -999.000
CHI_200            0.031               0.032            -0.000         0.328
CLDHGH            30.348              30.282             0.066         1.297
CLDLOW            35.072              35.889            -0.818         1.844
CLDMED            16.011              15.753             0.258         1.148
CLDTOT            53.624              54.168            -0.543         1.703
EKE_850           28.091              27.765             0.326         1.385
EP             1.107e-02           1.162e-02        -5.510e-04         0.357
FLNS              58.238              57.035             1.203         1.898
FLNSC             81.662              80.072             1.590         2.167
FLNT             235.517             237.878            -2.361         2.947
FLNTC            265.254             267.684            -2.430         2.581
FSDS             169.883             170.696            -0.813         3.915
FSDSC            232.163             234.637            -2.474         2.779
FSNS             150.261             151.644            -1.384         3.461
FSNSC            206.365             209.311            -2.947         5.115
FSNSC_ICE         41.695              46.538            -4.843        16.540
FSNSC_LAND       212.204             214.531            -2.327         3.452
FSNT             225.623             228.367            -2.744         4.264
FSNTC            277.869             282.419            -4.550         6.406
ICEAREA           25.220              22.515             2.705         0.090
LHFLX             83.443              85.561            -2.118         4.493
LWCF              29.737              29.806            -0.070         1.380
PRECT              2.852               2.926            -0.074         0.339
PRECT_LAND         2.346               2.408            -0.063         0.266
PRECT_OCEAN        3.178               3.245            -0.067         0.377
PREH2O            27.681              29.555            -1.874         2.170
PREH2O_OCEAN      30.722              32.535            -1.814         2.281
PSI_200           -0.074              -0.074             0.000         0.140
PS               985.600             985.784            -0.184         0.462
PSL             1010.989            1011.127            -0.138         0.441
QFLX               2.863               2.937            -0.074         0.133
SHFLX             19.426              19.457            -0.032         2.207
SNOWHLND          10.485              10.205             0.280         2.800
SST               20.277              21.000            -0.724         0.750
STRESS_MAG         0.077               0.077            -0.000         0.005
SWCF             -52.246             -54.052             1.807         4.016
T_850            283.692             284.660            -0.968         1.005
TGCLDLWP         139.929             142.427            -2.498         9.520
TGCLDIWP          16.478              16.045             0.434         0.993
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           289.662             290.598            -0.937         1.011
TS               290.361             291.287            -0.926         1.025
TS_LAND          289.061             290.303            -1.242         1.292
U_200             13.400              13.638            -0.237         0.852
VT_850             0.942               0.940             0.002         0.578
Z3_500            57.068              57.300            -0.232         0.237
