DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             1.385               2.161            -0.776         2.446
RESSURF           -0.927              -0.438            -0.489         4.072
SOLIN            338.254             338.254             0.000         0.000
AAM            1.539e+26           1.554e+26        -1.418e+24      -999.000
CHI_200            0.005               0.004             0.001         0.277
CLDHGH            28.897              28.815             0.082         1.365
CLDLOW            31.011              31.515            -0.504         1.492
CLDMED            16.038              15.743             0.295         1.477
CLDTOT            49.425              49.703            -0.278         1.525
EKE_850           28.782              28.078             0.704         1.539
EP             1.626e-02           1.855e-02        -2.283e-03         0.462
FLNS              60.674              59.768             0.906         1.792
FLNSC             82.831              81.567             1.263         2.084
FLNT             231.769             234.057            -2.289         3.016
FLNTC            260.822             263.246            -2.424         2.597
FSDS             183.319             184.759            -1.439         3.718
FSDSC            240.899             243.581            -2.682         2.876
FSNS             159.076             160.889            -1.813         3.818
FSNSC            210.935             213.847            -2.913         3.983
FSNSC_ICE         37.848              39.852            -2.004         5.581
FSNSC_LAND       187.272             190.376            -3.104         4.317
FSNT             233.154             236.218            -3.065         4.433
FSNTC            281.312             285.732            -4.421         5.190
ICEAREA           23.611              21.502             2.110         0.074
LHFLX             81.368              83.620            -2.252         4.551
LWCF              29.053              29.189            -0.135         1.514
PRECT              2.769               2.845            -0.077         0.444
PRECT_LAND         2.224               2.296            -0.072         0.248
PRECT_OCEAN        3.112               3.185            -0.074         0.521
PREH2O            25.487              27.122            -1.634         1.982
PREH2O_OCEAN      30.165              31.867            -1.702         2.188
PSI_200           -0.022              -0.021            -0.001         0.118
PS               985.385             985.545            -0.160         0.455
PSL             1011.141            1011.246            -0.105         0.431
QFLX               2.785               2.864            -0.079         0.129
SHFLX             17.962              17.940             0.022         1.778
SNOWHLND          12.688              12.339             0.349         2.620
SST               20.618              21.354            -0.735         0.762
STRESS_MAG         0.065               0.066            -0.000         0.005
SWCF             -48.158             -49.514             1.356         3.423
T_850            281.744             282.664            -0.920         0.953
TGCLDLWP         128.100             130.160            -2.059        10.450
TGCLDIWP          17.801              17.334             0.466         1.159
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.645             288.597            -0.952         1.037
TS               288.378             289.326            -0.948         1.053
TS_LAND          282.019             283.256            -1.237         1.309
U_200             16.674              16.885            -0.211         0.914
VT_850             0.170               0.169             0.001         0.507
Z3_500            56.673              56.893            -0.220         0.226
