DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM             2.390               3.082            -0.692         2.576
RESSURF            6.607               7.447            -0.841         4.402
SOLIN            342.177             342.177             0.000         0.000
AAM            1.420e+26           1.437e+26        -1.726e+24      -999.000
CHI_200            0.007               0.017            -0.010         0.330
CLDHGH            28.457              28.353             0.104         1.301
CLDLOW            32.218              32.876            -0.658         1.737
CLDMED            15.887              15.652             0.236         1.018
CLDTOT            49.964              50.346            -0.382         1.606
EKE_850           27.761              27.362             0.399         1.234
EP            -3.421e-02          -3.835e-02         4.141e-03         0.293
FLNS              59.753              58.729             1.024         1.733
FLNSC             82.518              81.211             1.307         2.144
FLNT             232.523             234.756            -2.233         2.770
FLNTC            260.773             263.154            -2.381         2.597
FSDS             184.762             186.051            -1.289         3.201
FSDSC            245.919             248.613            -2.694         2.929
FSNS             161.516             163.224            -1.708         3.337
FSNSC            216.689             219.729            -3.040         4.729
FSNSC_ICE         44.476              45.866            -1.391         6.182
FSNSC_LAND       164.130             166.151            -2.021         2.446
FSNT             234.912             237.838            -2.925         3.969
FSNTC            285.959             290.462            -4.502         5.683
ICEAREA           25.423              22.645             2.778         0.098
LHFLX             79.009              80.996            -1.987         4.114
LWCF              28.250              28.398            -0.148         1.292
PRECT              2.744               2.819            -0.075         0.285
PRECT_LAND         2.388               2.472            -0.084         0.254
PRECT_OCEAN        3.000               3.058            -0.059         0.305
PREH2O            25.476              27.137            -1.660         1.942
PREH2O_OCEAN      29.582              31.228            -1.647         2.085
PSI_200           -0.043              -0.043            -0.000         0.113
PS               985.384             985.547            -0.163         0.406
PSL             1011.092            1011.201            -0.109         0.390
QFLX               2.710               2.781            -0.070         0.126
SHFLX             16.147              16.052             0.095         1.883
SNOWHLND          10.585              10.330             0.255         2.801
SST               20.168              20.884            -0.716         0.740
STRESS_MAG         0.069               0.070            -0.001         0.004
SWCF             -51.047             -52.624             1.577         3.158
T_850            281.569             282.470            -0.901         0.929
TGCLDLWP         133.261             136.116            -2.855         8.568
TGCLDIWP          17.442              17.006             0.436         1.011
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.596             288.544            -0.947         1.086
TS               288.296             289.234            -0.938         1.107
TS_LAND          282.583             283.766            -1.184         1.256
U_200             15.564              15.762            -0.198         0.645
VT_850             0.030               0.028             0.002         0.538
Z3_500            56.677              56.896            -0.219         0.224
