DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -25.913             -25.289            -0.625         1.529
RESSURF          -10.189              -9.321            -0.868         4.029
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.058              -0.058             0.000         0.131
CLDHGH            25.121              25.216            -0.095         0.796
CLDLOW            30.108              30.715            -0.607         1.430
CLDMED            15.363              15.084             0.279         0.636
CLDTOT            46.147              46.596            -0.448         1.212
EKE_850           33.736              33.408             0.328         0.966
EP            -1.281e-02          -2.649e-02         1.368e-02         0.132
FLNS              65.054              64.607             0.447         1.376
FLNSC             88.454              87.860             0.594         1.612
FLNT             229.068             231.504            -2.437         2.702
FLNTC            252.602             255.358            -2.755         2.905
FSDS             164.871             165.744            -0.874         2.320
FSDSC            216.388             218.792            -2.404         2.523
FSNS             135.678             137.412            -1.733         2.521
FSNSC            180.173             183.324            -3.151         3.897
FSNSC_ICE         43.714              50.377            -6.664         9.063
FSNSC_LAND       162.424             165.302            -2.878         3.403
FSNT             203.154             206.216            -3.062         3.522
FSNTC            243.913             248.627            -4.714         5.230
ICEAREA           11.901              11.018             0.883         0.052
LHFLX             59.139              60.348            -1.209         3.164
LWCF              23.535              23.853            -0.318         0.845
PRECT              2.028               2.087            -0.059         0.134
PRECT_LAND         1.632               1.686            -0.054         0.111
PRECT_OCEAN        2.625               2.685            -0.059         0.161
PREH2O            17.956              19.245            -1.289         1.414
PREH2O_OCEAN      23.994              25.503            -1.509         1.705
PSI_200           -6.663              -6.754             0.091         0.110
PS               976.860             976.969            -0.109         0.326
PSL             1015.850            1015.855            -0.005         0.260
QFLX               2.015               2.060            -0.046         0.102
SHFLX             21.674              21.777            -0.103         1.806
SNOWHLND           4.746               4.218             0.528         3.616
SST               18.102              18.828            -0.726         0.787
STRESS_MAG         0.049               0.049             0.000         0.003
SWCF             -40.759             -42.412             1.653         2.452
T_850            278.397             279.453            -1.056         1.076
TGCLDLWP         124.529             127.391            -2.863         6.197
TGCLDIWP          19.549              19.168             0.381         0.705
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.737             283.885            -1.148         1.250
TS               283.277             284.427            -1.151         1.276
TS_LAND          280.285             281.642            -1.356         1.392
U_200             18.403              18.652            -0.249         0.539
VT_850             0.279               0.276             0.003         0.282
Z3_500            56.411              56.641            -0.230         0.231
