DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM          -103.985            -104.265             0.281         1.940
RESSURF          -75.877             -75.905             0.028         8.043
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.498               3.491             0.007         0.298
CLDHGH            26.068              26.192            -0.123         1.538
CLDLOW            27.281              27.600            -0.319         1.404
CLDMED            17.364              17.034             0.330         1.141
CLDTOT            44.783              44.876            -0.092         1.673
EKE_850           43.601              42.935             0.666         1.911
EP             1.456e-01           1.555e-01        -9.906e-03         0.195
FLNS              64.753              65.013            -0.260         1.873
FLNSC             87.936              88.132            -0.197         1.952
FLNT             210.938             213.503            -2.565         3.158
FLNTC            233.575             236.490            -2.915         3.192
FSDS              89.533              90.995            -1.462         2.257
FSDSC            114.368             116.560            -2.192         2.451
FSNS              72.690              74.273            -1.582         2.619
FSNSC             93.834              96.016            -2.182         3.051
FSNSC_ICE          1.823               1.409             0.415         0.434
FSNSC_LAND        75.764              78.278            -2.514         3.878
FSNT             106.953             109.238            -2.285         3.048
FSNTC            127.134             130.234            -3.100         3.788
ICEAREA           14.123              13.504             0.619         0.054
LHFLX             66.527              68.097            -1.571         5.098
LWCF              22.637              22.986            -0.349         1.278
PRECT              2.082               2.128            -0.045         0.186
PRECT_LAND         1.066               1.107            -0.041         0.128
PRECT_OCEAN        3.415               3.458            -0.043         0.241
PREH2O            11.451              12.152            -0.700         0.925
PREH2O_OCEAN      18.265              19.222            -0.957         1.232
PSI_200           -8.139              -8.164             0.024         0.151
PS               977.224             977.501            -0.277         0.687
PSL             1017.568            1017.716            -0.148         0.660
QFLX               2.228               2.283            -0.055         0.162
SHFLX             17.288              17.067             0.221         3.845
SNOWHLND           6.195               5.691             0.504         3.571
SST               16.140              16.818            -0.678         0.746
STRESS_MAG         0.075               0.075            -0.000         0.009
SWCF             -20.181             -20.996             0.815         1.485
T_850            270.691             271.625            -0.934         1.003
TGCLDLWP         119.384             122.513            -3.129         8.398
TGCLDIWP          23.834              23.675             0.160         1.320
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           273.584             274.742            -1.158         1.324
TS               274.066             275.221            -1.155         1.369
TS_LAND          264.957             266.270            -1.313         1.410
U_200             25.423              25.807            -0.383         1.116
VT_850             0.413               0.414            -0.002         0.629
Z3_500            55.092              55.312            -0.219         0.232
