DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -21.687             -20.945            -0.742         1.528
RESSURF           -4.384              -3.396            -0.987         2.792
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.577               0.625            -0.048         0.128
CLDHGH            25.517              25.318             0.198         0.743
CLDLOW            39.172              39.757            -0.585         1.383
CLDMED            15.924              15.553             0.371         0.596
CLDTOT            53.336              53.629            -0.293         1.119
EKE_850           44.559              43.819             0.740         1.061
EP             1.016e-01           1.115e-01        -9.953e-03         0.134
FLNS              59.922              59.168             0.754         1.115
FLNSC             88.699              87.738             0.961         1.430
FLNT             224.136             226.424            -2.288         2.410
FLNTC            248.448             250.744            -2.296         2.341
FSDS             165.227             166.533            -1.306         2.690
FSDSC            222.840             225.469            -2.630         2.725
FSNS             140.175             142.052            -1.877         2.467
FSNSC            191.108             194.222            -3.114         4.181
FSNSC_ICE         59.977              60.471            -0.494         5.299
FSNSC_LAND       128.193             129.712            -1.519         1.701
FSNT             202.449             205.479            -3.030         3.375
FSNTC            248.693             253.154            -4.462         5.206
ICEAREA           12.248              10.768             1.480         0.067
LHFLX             72.011              73.925            -1.914         2.908
LWCF              24.312              24.320            -0.008         0.628
PRECT              2.334               2.391            -0.057         0.124
PRECT_LAND         1.647               1.707            -0.059         0.105
PRECT_OCEAN        2.535               2.583            -0.048         0.126
PREH2O            17.282              18.384            -1.102         1.236
PREH2O_OCEAN      19.795              20.835            -1.040         1.309
PSI_200            7.187               7.284            -0.097         0.114
PS               983.309             983.524            -0.215         0.388
PSL             1007.031            1007.200            -0.170         0.346
QFLX               2.435               2.503            -0.067         0.091
SHFLX             12.626              12.356             0.270         1.414
SNOWHLND          47.005              46.945             0.059         1.258
SST               14.922              15.679            -0.757         0.767
STRESS_MAG         0.092               0.092            -0.001         0.003
SWCF             -46.244             -47.676             1.432         2.630
T_850            276.122             276.986            -0.865         0.874
TGCLDLWP         142.348             144.410            -2.062         6.394
TGCLDIWP          20.601              20.040             0.561         0.800
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.129             282.025            -0.896         0.930
TS               281.695             282.580            -0.885         0.932
TS_LAND          266.147             267.257            -1.110         1.142
U_200             25.158              25.451            -0.294         0.574
VT_850            -0.220              -0.211            -0.009         0.373
Z3_500            55.161              55.375            -0.214         0.217
