DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            74.903              76.664            -1.761         3.288
RESSURF           82.278              84.232            -1.954         4.101
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.029              -3.018            -0.011         0.181
CLDHGH            21.458              21.138             0.320         1.316
CLDLOW            41.927              42.599            -0.672         1.739
CLDMED            13.954              13.637             0.317         0.915
CLDTOT            52.783              53.208            -0.426         1.623
EKE_850           30.513              29.521             0.992         1.451
EP            -2.087e-02          -2.139e-02         5.213e-04         0.233
FLNS              56.049              54.970             1.080         1.753
FLNSC             85.270              83.958             1.312         1.776
FLNT             235.038             237.262            -2.224         2.679
FLNTC            257.785             259.909            -2.124         2.226
FSDS             258.659             259.610            -0.951         4.811
FSDSC            351.309             354.527            -3.219         3.514
FSNS             214.171             216.407            -2.236         4.165
FSNSC            296.285             300.820            -4.535         7.756
FSNSC_ICE        120.012             122.350            -2.339         9.621
FSNSC_LAND       188.014             190.531            -2.517         2.902
FSNT             309.941             313.926            -3.984         5.224
FSNTC            383.019             389.473            -6.454         8.981
ICEAREA            8.201               6.980             1.221         0.062
LHFLX             64.720              66.215            -1.495         3.225
LWCF              22.747              22.647             0.100         1.077
PRECT              2.234               2.290            -0.055         0.210
PRECT_LAND         2.706               2.800            -0.094         0.233
PRECT_OCEAN        2.168               2.215            -0.047         0.212
PREH2O            21.416              22.798            -1.382         1.577
PREH2O_OCEAN      23.341              24.558            -1.216         1.621
PSI_200            6.577               6.599            -0.022         0.074
PS               983.592             983.657            -0.066         0.345
PSL             1006.923            1006.931            -0.008         0.296
QFLX               2.213               2.268            -0.055         0.094
SHFLX             11.124              10.990             0.134         1.005
SNOWHLND          46.972              46.908             0.064         1.297
SST               16.310              17.091            -0.781         0.794
STRESS_MAG         0.081               0.081             0.000         0.004
SWCF             -73.078             -75.547             2.470         5.721
T_850            279.348             280.206            -0.858         0.870
TGCLDLWP         145.698             147.394            -1.696         8.242
TGCLDIWP          17.008              16.292             0.716         1.191
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.850             285.700            -0.850         0.886
TS               285.370             286.215            -0.845         0.895
TS_LAND          275.618             276.831            -1.213         1.299
U_200             19.534              19.640            -0.106         0.747
VT_850            -0.099              -0.101             0.002         0.436
Z3_500            55.894              56.097            -0.203         0.206
