DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -68.320             -68.494             0.175         1.159
RESSURF          -44.054             -43.794            -0.260         4.045
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.604              -0.712             0.108         0.190
CLDHGH            24.173              23.993             0.180         1.137
CLDLOW            38.632              39.141            -0.509         1.484
CLDMED            16.384              15.986             0.399         0.886
CLDTOT            51.991              52.236            -0.245         1.346
EKE_850           42.808              42.083             0.726         1.695
EP             1.350e-01           1.464e-01        -1.140e-02         0.204
FLNS              58.692              57.810             0.882         1.415
FLNSC             86.529              85.377             1.152         1.833
FLNT             225.451             227.854            -2.404         2.681
FLNTC            249.850             252.233            -2.383         2.498
FSDS             120.474             121.712            -1.238         2.240
FSDSC            164.333             166.450            -2.117         2.162
FSNS             108.116             109.413            -1.297         2.057
FSNSC            147.620             149.613            -1.993         2.381
FSNSC_ICE         21.258              21.167             0.090         4.596
FSNSC_LAND       102.382             103.442            -1.060         1.320
FSNT             157.131             159.360            -2.229         2.701
FSNTC            194.291             197.425            -3.134         3.400
ICEAREA            9.079               7.582             1.498         0.086
LHFLX             81.051              83.306            -2.255         3.733
LWCF              24.400              24.379             0.021         1.063
PRECT              2.608               2.675            -0.067         0.192
PRECT_LAND         1.532               1.597            -0.066         0.163
PRECT_OCEAN        2.881               2.940            -0.058         0.197
PREH2O            19.009              20.256            -1.248         1.407
PREH2O_OCEAN      21.430              22.591            -1.161         1.480
PSI_200            7.602               7.693            -0.091         0.118
PS               983.255             983.558            -0.303         0.563
PSL             1007.116            1007.375            -0.259         0.520
QFLX               2.743               2.821            -0.079         0.115
SHFLX             12.426              12.091             0.335         1.899
SNOWHLND          46.986              46.917             0.069         1.445
SST               15.912              16.698            -0.786         0.801
STRESS_MAG         0.092               0.091             0.001         0.005
SWCF             -37.160             -38.065             0.905         1.884
T_850            277.141             278.018            -0.878         0.897
TGCLDLWP         146.415             148.558            -2.143         7.998
TGCLDIWP          20.805              20.221             0.585         1.214
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.032             282.988            -0.955         1.033
TS               282.654             283.601            -0.947         1.049
TS_LAND          263.969             265.112            -1.143         1.240
U_200             24.131              24.387            -0.256         0.831
VT_850            -0.147              -0.139            -0.007         0.546
Z3_500            55.362              55.589            -0.227         0.234
