DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            19.256              21.099            -1.843         3.597
RESSURF           30.008              31.663            -1.654         4.097
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.636               1.789            -0.153         0.314
CLDHGH            25.201              24.904             0.297         1.234
CLDLOW            38.669              39.106            -0.437         1.389
CLDMED            15.535              15.166             0.369         0.891
CLDTOT            52.688              52.773            -0.086         1.389
EKE_850           42.612              42.075             0.537         1.412
EP             1.123e-01           1.318e-01        -1.956e-02         0.157
FLNS              62.207              61.773             0.434         1.217
FLNSC             91.122              90.421             0.701         1.221
FLNT             222.348             224.508            -2.159         2.377
FLNTC            245.721             247.910            -2.189         2.248
FSDS             204.845             206.568            -1.723         3.922
FSDSC            272.843             275.959            -3.116         3.413
FSNS             168.796             171.566            -2.770         4.439
FSNSC            227.917             232.077            -4.160         7.201
FSNSC_ICE         62.571              62.640            -0.068         6.924
FSNSC_LAND       147.843             149.239            -1.397         1.839
FSNT             241.604             245.606            -4.002         5.137
FSNTC            294.194             299.790            -5.597         7.925
ICEAREA           15.922              14.429             1.493         0.089
LHFLX             63.471              65.248            -1.777         3.370
LWCF              23.373              23.403            -0.030         0.814
PRECT              2.023               2.064            -0.041         0.143
PRECT_LAND         1.512               1.534            -0.022         0.133
PRECT_OCEAN        2.161               2.198            -0.037         0.146
PREH2O            15.153              16.044            -0.891         1.028
PREH2O_OCEAN      17.509              18.358            -0.848         1.108
PSI_200            7.322               7.444            -0.123         0.148
PS               983.056             983.234            -0.178         0.477
PSL             1006.748            1006.887            -0.139         0.464
QFLX               2.135               2.196            -0.061         0.105
SHFLX             13.109              12.882             0.227         1.923
SNOWHLND          47.035              46.990             0.045         1.115
SST               13.241              13.962            -0.720         0.732
STRESS_MAG         0.100               0.102            -0.002         0.005
SWCF             -52.590             -54.184             1.594         3.809
T_850            274.843             275.685            -0.842         0.856
TGCLDLWP         135.746             137.393            -1.647         7.072
TGCLDIWP          21.122              20.705             0.416         1.004
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.733             280.562            -0.829         0.859
TS               280.249             281.063            -0.814         0.858
TS_LAND          266.339             267.344            -1.005         1.047
U_200             26.998              27.324            -0.325         0.680
VT_850            -0.251              -0.236            -0.015         0.547
Z3_500            54.865              55.067            -0.203         0.211
