DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            47.751              48.321            -0.570         1.607
RESSURF           15.491              15.570            -0.079         1.731
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.514              -0.543             0.029         0.237
CLDHGH            36.391              36.221             0.170         0.917
CLDLOW            28.622              29.247            -0.626         1.129
CLDMED            16.863              16.747             0.117         1.147
CLDTOT            52.844              53.180            -0.336         1.035
EKE_850           15.447              14.866             0.581         1.033
EP            -8.654e-02          -8.279e-02        -3.753e-03         0.353
FLNS              53.147              51.405             1.743         1.916
FLNSC             69.439              67.032             2.407         2.529
FLNT             243.401             245.561            -2.160         2.665
FLNTC            281.991             284.166            -2.175         2.257
FSDS             213.950             215.425            -1.475         2.736
FSDSC            288.493             291.386            -2.892         2.943
FSNS             198.497             199.909            -1.412         2.601
FSNSC            268.643             271.392            -2.749         2.802
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       242.490             244.850            -2.360         2.486
FSNT             291.152             293.883            -2.731         3.428
FSNTC            357.679             362.064            -4.385         4.420
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            112.757             115.851            -3.094         4.025
LWCF              38.590              38.605            -0.015         1.110
PRECT              3.993               4.096            -0.103         0.354
PRECT_LAND         4.099               4.222            -0.123         0.277
PRECT_OCEAN        3.955               4.050            -0.095         0.373
PREH2O            41.820              44.433            -2.613         2.736
PREH2O_OCEAN      43.518              46.180            -2.663         2.794
PSI_200           -0.614              -0.618             0.004         0.046
PS               995.833             996.003            -0.169         0.202
PSL             1010.555            1010.705            -0.150         0.177
QFLX               3.907               4.013            -0.106         0.123
SHFLX             17.101              17.083             0.019         1.002
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.207              27.898            -0.691         0.697
STRESS_MAG         0.052               0.053            -0.001         0.002
SWCF             -66.527             -68.181             1.654         2.771
T_850            290.196             291.026            -0.830         0.836
TGCLDLWP         134.901             137.349            -2.448         7.470
TGCLDIWP          12.086              11.716             0.370         0.661
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.905             299.691            -0.786         0.799
TS               299.879             300.647            -0.768         0.786
TS_LAND          298.211             299.230            -1.019         1.027
U_200              3.140               3.145            -0.004         0.556
VT_850             0.279               0.279            -0.000         0.236
Z3_500            58.567              58.784            -0.217         0.217
