DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            52.024              52.765            -0.741         2.325
RESSURF           14.698              15.128            -0.429         3.209
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.607              -0.562            -0.044         0.323
CLDHGH            37.886              37.760             0.126         1.645
CLDLOW            27.179              27.501            -0.322         1.233
CLDMED            17.533              17.509             0.024         1.416
CLDTOT            52.758              52.932            -0.173         1.442
EKE_850           11.791              11.088             0.703         1.212
EP            -1.020e-01          -1.065e-01         4.477e-03         0.449
FLNS              55.175              53.604             1.571         1.996
FLNSC             71.160              68.870             2.290         2.587
FLNT             241.622             243.662            -2.040         3.274
FLNTC            281.468             283.568            -2.099         2.309
FSDS             217.097             218.715            -1.618         3.496
FSDSC            292.427             295.216            -2.789         2.841
FSNS             201.297             202.829            -1.532         3.275
FSNSC            272.191             274.827            -2.636         2.688
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.800             248.047            -2.248         2.378
FSNT             293.646             296.426            -2.781         3.952
FSNTC            361.401             365.656            -4.255         4.292
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            115.050             117.869            -2.818         4.545
LWCF              39.846              39.906            -0.060         1.917
PRECT              4.090               4.193            -0.102         0.439
PRECT_LAND         4.310               4.444            -0.133         0.395
PRECT_OCEAN        4.015               4.106            -0.091         0.450
PREH2O            40.481              42.933            -2.452         2.673
PREH2O_OCEAN      42.638              45.195            -2.557         2.754
PSI_200            1.519               1.525            -0.006         0.082
PS               994.844             994.950            -0.106         0.201
PSL             1009.583            1009.669            -0.086         0.185
QFLX               3.988               4.086            -0.098         0.132
SHFLX             16.373              16.228             0.145         1.220
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.146              27.825            -0.680         0.688
STRESS_MAG         0.058               0.058            -0.000         0.003
SWCF             -67.755             -69.230             1.475         3.273
T_850            289.746             290.543            -0.797         0.805
TGCLDLWP         138.108             140.598            -2.490         9.213
TGCLDIWP          12.586              12.243             0.343         0.893
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.573             299.344            -0.771         0.785
TS               299.512             300.255            -0.744         0.762
TS_LAND          296.847             297.797            -0.951         0.965
U_200              4.124               3.849             0.275         0.814
VT_850            -2.268              -2.239            -0.029         0.389
Z3_500            58.419              58.621            -0.203         0.203
