DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            28.898              28.986            -0.088         1.930
RESSURF           -2.558              -3.112             0.554         3.808
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.468              -0.511             0.043         0.402
CLDHGH            34.839              34.475             0.363         1.465
CLDLOW            31.007              31.904            -0.898         1.622
CLDMED            16.665              16.431             0.234         1.444
CLDTOT            53.514              53.905            -0.392         1.568
EKE_850           10.703              10.324             0.379         0.880
EP             7.785e-02           1.093e-01        -3.149e-02         0.521
FLNS              51.426              49.615             1.811         2.072
FLNSC             68.108              65.652             2.455         2.625
FLNT             244.484             247.020            -2.536         3.339
FLNTC            281.989             284.304            -2.315         2.454
FSDS             197.248             198.532            -1.284         3.308
FSDSC            272.284             275.130            -2.846         2.916
FSNS             182.827             184.037            -1.211         3.116
FSNSC            253.207             255.897            -2.690         2.761
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       228.347             230.549            -2.202         2.394
FSNT             273.382             276.006            -2.624         3.805
FSNTC            340.021             344.404            -4.382         4.422
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            117.101             120.626            -3.525         5.695
LWCF              37.505              37.284             0.221         1.665
PRECT              3.957               4.043            -0.086         0.495
PRECT_LAND         3.346               3.430            -0.084         0.356
PRECT_OCEAN        4.143               4.229            -0.086         0.531
PREH2O            42.409              45.098            -2.689         2.893
PREH2O_OCEAN      44.032              46.754            -2.722         2.943
PSI_200           -2.933              -2.950             0.016         0.064
PS               997.199             997.442            -0.243         0.269
PSL             1011.953            1012.176            -0.223         0.247
QFLX               4.035               4.153            -0.118         0.164
SHFLX             16.858              16.909            -0.050         1.279
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.036              27.718            -0.682         0.691
STRESS_MAG         0.070               0.071            -0.001         0.003
SWCF             -66.639             -68.397             1.758         3.432
T_850            290.075             290.926            -0.851         0.859
TGCLDLWP         143.812             146.407            -2.595        10.020
TGCLDIWP          11.882              11.462             0.420         0.919
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.784             299.576            -0.792         0.812
TS               299.688             300.461            -0.773         0.801
TS_LAND          297.939             299.009            -1.070         1.089
U_200              1.142               1.257            -0.115         0.704
VT_850             2.924               2.910             0.014         0.396
Z3_500            58.703              58.934            -0.231         0.231
