DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            55.345              56.204            -0.860         2.578
RESSURF           23.907              23.716             0.190         3.059
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.546              -0.627             0.081         0.362
CLDHGH            37.624              37.570             0.053         1.622
CLDLOW            27.042              27.614            -0.572         1.410
CLDMED            16.344              16.203             0.141         2.185
CLDTOT            52.396              52.737            -0.341         1.739
EKE_850           10.999              10.191             0.808         1.413
EP            -1.101e-01          -1.046e-01        -5.510e-03         0.745
FLNS              53.467              51.719             1.747         2.124
FLNSC             69.301              66.881             2.420         2.643
FLNT             242.995             244.994            -1.999         3.392
FLNTC            282.521             284.692            -2.171         2.357
FSDS             220.820             222.466            -1.646         4.813
FSDSC            292.123             294.935            -2.812         2.901
FSNS             204.762             206.344            -1.582         4.595
FSNSC            271.990             274.675            -2.685         2.775
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       244.629             246.932            -2.303         2.499
FSNT             298.340             301.199            -2.859         4.970
FSNTC            362.066             366.353            -4.287         4.336
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            110.046             113.566            -3.520         6.025
LWCF              39.526              39.698            -0.172         2.067
PRECT              3.926               4.042            -0.115         0.716
PRECT_LAND         4.177               4.307            -0.130         0.382
PRECT_OCEAN        3.844               3.953            -0.110         0.793
PREH2O            42.488              45.156            -2.668         2.897
PREH2O_OCEAN      44.300              47.026            -2.727         2.977
PSI_200            0.131               0.158            -0.026         0.073
PS               995.497             995.637            -0.140         0.188
PSL             1010.194            1010.314            -0.120         0.163
QFLX               3.816               3.937            -0.121         0.157
SHFLX             17.343              17.343            -0.000         1.180
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.650              28.366            -0.716         0.725
STRESS_MAG         0.050               0.051            -0.001         0.003
SWCF             -63.726             -65.155             1.428         4.488
T_850            290.708             291.550            -0.842         0.851
TGCLDLWP         123.006             124.788            -1.782        13.999
TGCLDIWP          12.037              11.676             0.361         1.142
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.351             300.153            -0.802         0.818
TS               300.405             301.194            -0.789         0.811
TS_LAND          299.045             300.074            -1.028         1.046
U_200              5.384               5.374             0.010         0.805
VT_850             0.195               0.191             0.004         0.340
Z3_500            58.586              58.803            -0.217         0.217
