DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            54.904              55.487            -0.583         2.175
RESSURF           26.061              26.640            -0.579         3.033
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.433              -0.465             0.032         0.395
CLDHGH            35.226              35.104             0.122         1.528
CLDLOW            29.226              29.942            -0.716         1.295
CLDMED            16.931              16.876             0.055         1.177
CLDTOT            52.694              53.148            -0.454         1.423
EKE_850           11.227              10.783             0.444         0.980
EP            -2.143e-01          -2.329e-01         1.862e-02         0.433
FLNS              52.564              50.728             1.836         2.063
FLNSC             69.222              66.778             2.443         2.569
FLNT             244.493             246.520            -2.027         2.927
FLNTC            281.989             284.078            -2.089         2.193
FSDS             220.790             222.098            -1.308         3.269
FSDSC            297.319             300.443            -3.124         3.189
FSNS             205.249             206.526            -1.276         3.107
FSNSC            277.355             280.340            -2.986         3.050
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       251.354             254.041            -2.688         2.821
FSNT             299.398             302.008            -2.610         3.713
FSNTC            367.414             372.025            -4.610         4.646
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            108.803             111.327            -2.524         4.437
LWCF              37.495              37.557            -0.062         1.706
PRECT              4.002               4.110            -0.108         0.425
PRECT_LAND         4.575               4.719            -0.143         0.387
PRECT_OCEAN        3.816               3.912            -0.096         0.435
PREH2O            41.879              44.494            -2.615         2.751
PREH2O_OCEAN      43.083              45.702            -2.619         2.772
PSI_200           -1.135              -1.168             0.033         0.061
PS               995.786             995.955            -0.169         0.202
PSL             1010.484            1010.634            -0.150         0.177
QFLX               3.787               3.877            -0.090         0.130
SHFLX             17.822              17.832            -0.010         1.310
SNOWHLND           0.000               0.000             0.000         0.001
SST               26.996              27.670            -0.675         0.681
STRESS_MAG         0.053               0.053            -0.000         0.002
SWCF             -68.017             -70.017             2.000         3.380
T_850            290.251             291.073            -0.822         0.833
TGCLDLWP         134.703             137.768            -3.065         8.303
TGCLDIWP          11.848              11.497             0.351         0.850
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.904             299.673            -0.770         0.785
TS               299.904             300.658            -0.754         0.776
TS_LAND          298.990             300.002            -1.012         1.028
U_200              1.920               2.107            -0.186         0.594
VT_850             0.202               0.183             0.019         0.300
Z3_500            58.555              58.769            -0.214         0.214
